2026-01-28T23:15:01.770307+01:00, outdoor_avg_60m=-1.18, flow_avg_10m=49.25, flowNow=48.5, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-01-28T23:15:01.784304+01:00, outdoor_avg_60m=-1.18, flow_avg_10m=49.25, flowNow=48.5, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-01-28T23:20:01.601559+01:00, outdoor_avg_60m=-1.27, flow_avg_10m=49.0, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:20:01.614940+01:00, outdoor_avg_60m=-1.27, flow_avg_10m=49.0, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:25:01.625992+01:00, outdoor_avg_60m=-1.36, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:25:01.645467+01:00, outdoor_avg_60m=-1.36, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:30:01.666675+01:00, outdoor_avg_60m=-1.45, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:30:01.679942+01:00, outdoor_avg_60m=-1.45, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:35:01.690907+01:00, outdoor_avg_60m=-1.55, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:35:01.701273+01:00, outdoor_avg_60m=-1.55, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:40:01.181828+01:00, outdoor_avg_60m=-1.64, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-28T23:40:01.193891+01:00, outdoor_avg_60m=-1.64, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
