2026-02-18T00:45:01.609757+01:00, outdoor_avg_60m=-5.83, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:45:01.621502+01:00, outdoor_avg_60m=-5.83, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:50:01.645375+01:00, outdoor_avg_60m=-5.92, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:50:01.657022+01:00, outdoor_avg_60m=-5.92, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:55:01.680163+01:00, outdoor_avg_60m=-6.0, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:55:01.693973+01:00, outdoor_avg_60m=-6.0, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T01:00:01.713440+01:00, outdoor_avg_60m=-6.08, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T01:00:01.721461+01:00, outdoor_avg_60m=-6.08, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T01:05:01.744435+01:00, outdoor_avg_60m=-6.17, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T01:05:01.756723+01:00, outdoor_avg_60m=-6.17, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T01:10:01.885588+01:00, outdoor_avg_60m=-6.27, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T01:10:01.892742+01:00, outdoor_avg_60m=-6.27, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T01:15:00.581779+01:00, outdoor_avg_60m=-6.33, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=64, opState=heating, status=no_change
2026-02-18T01:15:00.593679+01:00, outdoor_avg_60m=-6.33, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=64, opState=heating, status=no_change
2026-02-18T01:20:00.613795+01:00, outdoor_avg_60m=-6.42, flow_avg_10m=49.5, flowNow=32.5, powerNow=0, freqNow=42, opState=heating, status=no_change
2026-02-18T01:20:00.623964+01:00, outdoor_avg_60m=-6.42, flow_avg_10m=49.5, flowNow=32.5, powerNow=0, freqNow=42, opState=heating, status=no_change
2026-02-18T01:25:00.646865+01:00, outdoor_avg_60m=-6.5, flow_avg_10m=32.5, flowNow=45, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-02-18T01:25:00.654749+01:00, outdoor_avg_60m=-6.5, flow_avg_10m=32.5, flowNow=45, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-02-18T01:30:00.675651+01:00, outdoor_avg_60m=-6.58, flow_avg_10m=45.0, flowNow=49, powerNow=3000, freqNow=78, opState=heating, status=no_change
2026-02-18T01:30:00.686778+01:00, outdoor_avg_60m=-6.58, flow_avg_10m=45.0, flowNow=49, powerNow=3000, freqNow=78, opState=heating, status=no_change
2026-02-18T01:35:00.505826+01:00, outdoor_avg_60m=-6.67, flow_avg_10m=47.0, flowNow=49.5, powerNow=3000, freqNow=78, opState=heating, status=no_change
2026-02-18T01:35:00.517795+01:00, outdoor_avg_60m=-6.67, flow_avg_10m=47.0, flowNow=49.5, powerNow=3000, freqNow=78, opState=heating, status=no_change
